국가,실제판매금액
미국,2322006750
중국,732940650
대만,358665300
홍콩,311728500
일본,241226100
베트남,208219950
덴마크,205343100
멕시코,180090000
인도,168095250
싱가포르,152112600
브라질,144925200
아르헨티나,121500000
오스트리아,119966400
영국,107342550
이스라엘,87035850
태국,73845000
캐나다,51030000
헝가리,44514900
스위스,41472000
인도네시아,35849250
루마니아,28117800
호주,26217000
필리핀,24070500
말레이시아,21330000
폴란드,20931750
네덜란드,17820000
독일,15151050
아일랜드,14688000
핀란드,11961000
남아프리카공화국,9402750
프랑스,6369300
스웨덴,4166100
슬로베니아,2295000
우크라이나,1687500
